ARRIVAL_REGION,TIME_OF_DAY,Tier1_median_pct,Tier1_p25,Tier1_p75,Tier2_median_pct,Tier2_p25,Tier2_p75,Tier3_median_pct,Tier3_p25,Tier3_p75,median_total_seats,n_flights,Tier1_IQR,Tier1_lower,Tier1_upper,Tier2_IQR,Tier2_lower,Tier2_upper,Tier3_IQR,Tier3_lower,Tier3_upper
Asia,Afternoon,0.0,0.0,0.003676470588235294,0.029774569402228977,0.014914267945984364,0.0425531914893617,0.11061507936507936,0.06944444444444445,0.15741725768321513,272.0,152,0.003676470588235294,0.0,0.003676470588235294,0.02763892354337734,0.0021356458588516376,0.05741349294560631,0.08797281323877068,0.02264226612630868,0.19858789260385004
Asia,Evening,0.0,0.0,0.003676470588235294,0.02433949410579942,0.011801110692771084,0.04136078719259113,0.09662224264705882,0.06567340791738382,0.1512046307884856,272.0,206,0.003676470588235294,0.0,0.003676470588235294,0.029559676499820043,0.0,0.05389917060561947,0.08553122287110176,0.011091019775957056,0.18215346551816058
Asia,Lunchtime,0.0,0.0,0.003463699018126888,0.02553191489361702,0.013327423167848698,0.03614457831325301,0.09722222222222222,0.06485913442288793,0.13575708061002179,272.0,75,0.003463699018126888,0.0,0.003463699018126888,0.022817155145404312,0.0027147597482127077,0.048349070039021336,0.07089794618713385,0.02632427603508837,0.16812016840935606
Asia,Morning,0.0,0.0,0.0030211480362537764,0.025020859407592824,0.010329131652661064,0.04411764705882353,0.09787234042553192,0.05960622419815815,0.1557904411764706,272.0,246,0.0030211480362537764,0.0,0.0030211480362537764,0.03378851540616247,0.0,0.0588093748137553,0.09618421697831245,0.0016881234472194695,0.19405655740384437
Europe,Afternoon,0.0,0.0,0.005555555555555556,0.044444444444444446,0.022222222222222223,0.06111111111111111,0.16666666666666666,0.1111111111111111,0.21666666666666667,180.0,1366,0.005555555555555556,0.0,0.005555555555555556,0.03888888888888889,0.005555555555555557,0.08333333333333334,0.10555555555555557,0.06111111111111109,0.27222222222222225
Europe,Evening,0.0,0.0,0.005555555555555556,0.044444444444444446,0.022222222222222223,0.06666666666666667,0.16666666666666666,0.1111111111111111,0.22777777777777777,180.0,1783,0.005555555555555556,0.0,0.005555555555555556,0.04444444444444444,6.938893903907228e-18,0.08888888888888888,0.11666666666666667,0.04999999999999999,0.2833333333333333
Europe,Lunchtime,0.0,0.0,0.005555555555555556,0.044444444444444446,0.022222222222222223,0.06666666666666667,0.17222222222222222,0.1111111111111111,0.23333333333333334,180.0,757,0.005555555555555556,0.0,0.005555555555555556,0.04444444444444444,6.938893903907228e-18,0.08888888888888888,0.12222222222222223,0.04999999999999999,0.29444444444444445
Europe,Morning,0.0,0.0,0.005555555555555556,0.044444444444444446,0.022222222222222223,0.06111111111111111,0.16666666666666666,0.1111111111111111,0.2222222222222222,180.0,2069,0.005555555555555556,0.0,0.005555555555555556,0.03888888888888889,0.005555555555555557,0.08333333333333334,0.1111111111111111,0.05555555555555555,0.2777777777777778
Middle East,Afternoon,0.0,0.0,0.003676470588235294,0.02710843373493976,0.014705882352941176,0.03833870162863494,0.10542168674698796,0.06511768778123918,0.14186156390266952,331.0,159,0.003676470588235294,0.0,0.003676470588235294,0.023632819275693762,0.0034756144592459973,0.05074125301063352,0.07674387612143034,0.028677810625557618,0.18216556286841828
Middle East,Evening,0.0,0.0,0.00390625,0.02710843373493976,0.01276595744680851,0.041666666666666664,0.10574018126888217,0.06845238095238096,0.14953271028037382,272.0,201,0.00390625,0.0,0.00390625,0.028900709219858156,0.0,0.05600914295479792,0.08108032932799286,0.024659851940889307,0.18682051059687504
Middle East,Lunchtime,0.0,0.0,0.003676470588235294,0.02734375,0.014903162757640368,0.04520697167755991,0.11144578313253012,0.07080876698282491,0.1612082066869301,272.0,79,0.003676470588235294,0.0,0.003676470588235294,0.03030380891991954,0.0,0.057647558919919545,0.09039943970410518,0.021046343428424943,0.2018452228366353
Middle East,Morning,0.0,0.0,0.0030211480362537764,0.02710843373493976,0.015060240963855422,0.04216867469879518,0.10784313725490197,0.07036247334754797,0.14803625377643503,272.0,249,0.0030211480362537764,0.0,0.0030211480362537764,0.027108433734939756,3.469446951953614e-18,0.05421686746987951,0.07767378042888706,0.030169356826014904,0.18551691768378903
North America,Afternoon,0.0,0.0,0.0030211480362537764,0.027190332326283987,0.013986240913811007,0.0425531914893617,0.10574018126888217,0.06615687319704001,0.15674480398937138,272.0,628,0.0030211480362537764,0.0,0.0030211480362537764,0.028566950575550695,0.0,0.05575728290183468,0.09058793079233136,0.015152250476550805,0.19632811206121353
North America,Evening,0.0,0.0,0.00390625,0.02734375,0.012048192771084338,0.04205607476635514,0.10638297872340426,0.060240963855421686,0.14893617021276595,272.0,783,0.00390625,0.0,0.00390625,0.0300078819952708,0.0,0.057351631995270796,0.08869520635734426,0.017687772366059992,0.19507818508074853
North America,Lunchtime,0.0,0.0,0.0030211480362537764,0.027190332326283987,0.01488095238095238,0.04216867469879518,0.10747663551401869,0.06547619047619048,0.15319148936170213,272.0,281,0.0030211480362537764,0.0,0.0030211480362537764,0.027287722317842798,0.0,0.054478054644126785,0.08771529888551165,0.019761336628507042,0.19519193439953034
North America,Morning,0.0,0.0,0.00390625,0.02734375,0.014705882352941176,0.042488911743909494,0.10574018126888217,0.06862745098039216,0.15319148936170213,272.0,966,0.00390625,0.0,0.00390625,0.027783029390968318,0.0,0.055126779390968314,0.08456403838130996,0.021176142887572205,0.19030421965019212
