FLIGHT_DATE,FLIGHT_TIME,TIME_OF_DAY,AIRLINE_CD,FLIGHT_NO,DEPARTURE_STATION_CD,ARRIVAL_STATION_CD,ARRIVAL_COUNTRY,ARRIVAL_REGION,HAUL,AIRCRAFT_TYPE,FIRST_CLASS_SEATS,BUSINESS_CLASS_SEATS,ECONOMY_SEATS,TIER1_ELIGIBLE_PAX,TIER2_ELIGIBLE_PAX,TIER3_ELIGIBLE_PAX,total_seats,tier1_hist_pct,tier2_hist_pct,tier3_hist_pct,day_of_week,month,Tier1_pct,Tier2_pct,Tier3_pct,Tier1_est_pax,Tier2_est_pax,Tier3_est_pax,category,cluster
2025-09-02,14:19:00,Afternoon,BA,BA5211,LHR,LAX,USA,North America,LONG,B777,8,49,178,0,10,38,235,0.0,0.0425531914893617,0.16170212765957448,Tuesday,9,0.0,0.027190332326283987,0.10574018126888217,0,6,25,North America|Afternoon,1
2025-06-10,06:42:00,Morning,BA,BA7282,LHR,LAX,USA,North America,LONG,B777,8,49,178,0,7,28,235,0.0,0.029787234042553193,0.11914893617021277,Tuesday,6,0.0,0.02734375,0.10574018126888217,0,6,25,North America|Morning,3
2025-10-27,15:33:00,Afternoon,BA,BA1896,LHR,FRA,Germany,Europe,SHORT,A320,0,17,163,0,11,40,180,0.0,0.06111111111111111,0.2222222222222222,Monday,10,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Afternoon,2
2025-06-15,18:29:00,Evening,BA,BA5497,LHR,IST,Turkey,Europe,SHORT,A320,0,8,172,0,16,54,180,0.0,0.08888888888888889,0.3,Sunday,6,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Evening,2
2025-08-25,20:35:00,Evening,BA,BA1493,LHR,FRA,Germany,Europe,SHORT,A320,0,13,167,0,6,27,180,0.0,0.03333333333333333,0.15,Monday,8,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Evening,2
2025-07-12,19:08:00,Evening,BA,BA4954,LHR,VIE,Austria,Europe,SHORT,A320,0,20,160,0,6,27,180,0.0,0.03333333333333333,0.15,Saturday,7,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Evening,2
2025-09-16,21:44:00,Evening,BA,BA9840,LHR,AMS,Netherlands,Europe,SHORT,A320,0,20,160,0,16,55,180,0.0,0.08888888888888889,0.3055555555555556,Tuesday,9,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Evening,2
2025-04-24,14:50:00,Afternoon,BA,BA7116,LHR,ORD,USA,North America,LONG,A350,0,56,275,1,12,42,331,0.0030211480362537764,0.03625377643504532,0.1268882175226586,Thursday,4,0.0,0.027190332326283987,0.10574018126888217,0,9,35,North America|Afternoon,1
2025-05-17,12:13:00,Lunchtime,BA,BA4424,LHR,FRA,Germany,Europe,SHORT,A320,0,17,163,0,5,23,180,0.0,0.027777777777777776,0.12777777777777777,Saturday,5,0.0,0.044444444444444446,0.17222222222222222,0,8,31,Europe|Lunchtime,0
2025-05-01,09:55:00,Morning,BA,BA4878,LHR,IST,Turkey,Europe,SHORT,A320,0,4,176,1,11,39,180,0.005555555555555556,0.06111111111111111,0.21666666666666667,Thursday,5,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Morning,0
2025-08-23,09:27:00,Morning,BA,BA8924,LHR,AMS,Netherlands,Europe,SHORT,A320,0,10,170,1,5,23,180,0.005555555555555556,0.027777777777777776,0.12777777777777777,Saturday,8,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Morning,0
2025-09-02,07:48:00,Morning,BA,BA8942,LHR,LAX,USA,North America,LONG,B777,8,49,178,0,5,23,235,0.0,0.02127659574468085,0.09787234042553192,Tuesday,9,0.0,0.02734375,0.10574018126888217,0,6,25,North America|Morning,3
2025-05-10,10:11:00,Morning,BA,BA8213,LHR,MUC,Germany,Europe,SHORT,A320,0,2,178,1,9,34,180,0.005555555555555556,0.05,0.18888888888888888,Saturday,5,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Morning,0
2025-05-22,06:23:00,Morning,BA,BA7992,LHR,HND,Japan,Asia,LONG,B787,8,48,200,1,0,0,256,0.00390625,0.0,0.0,Thursday,5,0.0,0.025020859407592824,0.09787234042553192,0,6,25,Asia|Morning,0
2025-06-13,14:57:00,Afternoon,BA,BA7734,LHR,VIE,Austria,Europe,SHORT,A320,0,12,168,0,0,3,180,0.0,0.0,0.016666666666666666,Friday,6,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Afternoon,2
2025-06-02,22:37:00,Evening,BA,BA3129,LHR,CDG,France,Europe,SHORT,A320,0,18,162,0,5,22,180,0.0,0.027777777777777776,0.12222222222222222,Monday,6,0.0,0.044444444444444446,0.16666666666666666,0,8,30,Europe|Evening,2
